t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
646.0,-189.0,-611.0,1339.0,30.0,1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0
-189.0,-611.0,1339.0,30.0,1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0
-611.0,1339.0,30.0,1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0
1339.0,30.0,1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0
30.0,1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0
1645.0,-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0
-276.0,561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0
561.0,470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0
470.0,3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0
3395.0,360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0
360.0,3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0
3440.0,1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0
1573.0,3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0
3363.0,3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0
3226.0,4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0
4974.0,2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0
2384.0,1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0
1000.0,1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0
1022.0,-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0
-2042.0,1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0
1459.0,-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0
-503.0,1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0
1767.0,185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0
185.0,18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0,1405.0
18.0,-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0,1405.0,1505.0
-795.0,3369.0,-772.0,1611.0,125.0,-355.0,2394.0,2458.0,3680.0,2045.0,1405.0,1505.0,4539.0
