user_id,business_id,stars
PfpRvMAESbC2bC8FUIMdNg,Kbbm6Vd5UdbP10dwjBghRw,4.0
oaaEXgQ3x51cXE3GTXrT1Q,2GmGT-7QjowR1ihup3FbVA,3.125
yT_QCcnq-QGipWWuzIpvtw,pOEL97ld-FJMKO8Ki8JmYg,3.6
fRVNHAl2RjosC67Y67G3cA,UkWme3kwg6L9rd4tCNB15w,3.875
48vRThjhuhiSQINQ2KV8Sw,LNGBEEelQx4zbfWnlc66cw,4.230769
q5FQmuXxzPEsvEtA_Mvd1w,fSBhe0A6Dfa8JCYccfpMog,4.2
W0VE9M7Dikrpol8j1_QqyQ,3oTVApC-eUzpGjrOVxIr5g,5.0
avmRUkWovTsaDqKiNKdivQ,wUKzaS1MHg94RGM6z8u9mw,3.0
NjLRgbRZiwEIMpAgXypJtw,cTZmf7B-4yciMc1WKiCVOA,3.5
76vIFZcC7owykCBjMfGVXg,KkmPDIWzvwbBpyqOHT6pcQ,3.25
ERcsc0YO5CCUbkC8EV2INg,hDyc9DdjGldhxis5E1rd3w,3.8
FOoN3DJzDUnl4EAQaTJIGg,dEAk-gE-5Q95a7p91gNn8A,3.2
_VMGbmIeK71rQGwOBWt_Kg,beuVp5CZxCdNvQIIPBS2rw,3.88
veeaBpjDwo-xfHSz3z3PWg,Q0EZmATxDphzRMszNV2LVg,4.0
1i3WvtGsIW8FGOFLvHHFMw,xjjxHavx4RIiW6zS6rasGA,4.25
WXDj6mmyrJi5q5nHKJ6H7w,2LNnIARy-lGmrlEMZSxZ1w,4.5
UrQw8IyTOAAlokN-SMK3_Q,LVLctMJ018ShlsFkIuYGTg,4.3333335
ciXjBfJrAEteIKpzZg4I9g,WCqcYtJ4rUxA4bIzjOfzqg,4.2
Znid_azpcHmdRMHGicmkWA,XwmJBX-BMUq47zYaUeYjug,4.0
4V6vZgVCfEfYwXFK3tnTQQ,RrCgc8eAKbHu-2IpQXg6Rw,4.0
6GT6kAIyCT9MA7y1ZN_PUw,8-_jXGGDFPFAPB4r1x-81w,4.2
pWEzY3YY0zEAJLlGSSucrQ,VfFHPsPtTW4Mgx0eHDyJiQ,3.5
nXMMoDzXRByQiWH9cf-FAQ,URFhSrJPk7JM2pUtsuWsAg,3.75
LDu8Kn3k1CZHY5sEq3bLPQ,-LzUYsR54hd8cCiYXTquRA,3.6
